a,b,c,d,e,f,g,h
,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57693261,NY
Sep-15,Current,36 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59432726,PA
Jul-15,Current,36 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53222800,OH
Aug-15,Current,36 months,,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57803010,TX
Oct-15,Current,60 months,,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63398019,AL
Sep-15,Current,60 months,F,F4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60850626,CA
Apr-15,Current,36 months,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46816139,GA
Nov-15,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63918356,MA
Nov-15,Current,36 months,C,C2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63651616,TX
Jul-15,Current,36 months,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56069330,VA
Jan-15,Late (31-120 days),36 months,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39641145,IN
Jun-15,,60 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52311217,CO
Nov-15,Current,60 months,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65775524,OK
Aug-15,,36 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57336468,CA
Mar-15,Fully Paid,60 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41480201,NC
Aug-15,Current,60 months,E,E4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58390667,OR
,Current,36 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57155656,MD
Jun-15,Current,60 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49218915,TX
Jun-15,Current,36 months,A,A4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50364957,TX
Dec-15,Issued,36 months,A,A4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65985055,NV
Oct-15,Current,36 months,B,B2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61772655,SC
Sep-15,Current,36 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59230683,GA
Aug-15,Current,36 months,,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58030770,VA
Nov-15,Current,,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65676913,NY
,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63177012,TX
Mar-15,Current,60 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41021489,OR
,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60417140,CA
Mar-15,Current,60 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43125650,LA
Nov-15,Current,60 months,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65662544,CA
Feb-15,Current,36 months,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40298097,TX
Dec-15,Current,60 months,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66464411,CA
Nov-15,Current,36 months,B,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65404741,IL
Jun-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51880826,NY
Sep-15,,60 months,F,F1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59543019,DC
